Property Name,Property Cost,Property Type,Property Area,Property Locality
Shapoorji Joyville Sensorium,₹ 54.37 L - 1.43 Cr,2 BHKApartment,(49.85 - 90.12 sq.m.),Blue Ridge Public SchoolSanjeevani Multispeciality HospitalPinewoods Golf ClubXion MallShree Shiv Chhatrapati Sports Complex
Nyati Emerald,₹ 1 - 1.05 Cr,2 BHKApartment,(77.85 sq.m.),Amar Madhuban Tech ParkMumbai Highway (NH 48)Infinity International SchoolThe Orchid Hotel PunePrimrose Mall
Kolte 24K Altura,₹ 1.2 - 2.01 Cr,3 BHKApartment,(96.9 - 127.65 sq.m.),The Orchid HotelMumbai HighwayShree Shiv Chhatrapati SportsPune Screen GolfManipal Hospitals Baner
Lodha Giardino,₹ 94 L - 2.71 Cr,2 BHKApartment,(74.32 - 78.97 sq.m.),Blossom Primary SchoolINT Global Science and Tech UniversitySharda HospitalEpic shoppings
Lodha Panache,₹ 81.72 L - 1.28 Cr,2 BHKApartment,(65.03 - 84.36 sq.m.),Blue Ridge Public SchoolHyatt Place Pune HinjawadiXion MallIndialand Global Industrial ParkWipro Circle Metro Station
Nyati Equinox,₹ 87 L,2 BHKApartment,(77.85 sq.m.),Mulshi RoadViva InnRyan International School BavdhanM Connect IT ParkAditya Shagun Mall
Kohinoor Famville,₹ 65 L - 1.02 Cr,2 BHKApartment,(58.09 - 75.25 sq.m.),Grand Tamanna HotelRyan International AcademyWipro Circle Metro StationEmbassy Quadron Business ParkXion Mall
Nyati Exuberance,₹ 61.5 L,2 BHKApartment,(65.31 sq.m.),"Dhruv Global School, UndriNH 65The Corinthians Resort and Club PuneKeystone School of EngineeringSwami Vivekanand Industrial Area"
Shapoorji Joyville Hadapsar Annexe,₹ 41.16 - 61.41 L,1 BHKApartment,(34.43 - 51.29 sq.m.),Yog Multispeciality hospitalSri Sri AcademyHadapsar FlyoverLexicon Intl' SchoolFursungi
Elina Liva,₹ 73 - 81.16 L,2 BHKApartment,(76.3 - 81.8 sq.m.),N/A
Greenville,₹ 91 L - 1.1 Cr,2 BHKApartment,(70.98 - 86.12 sq.m.),Super MarketRBT SchoolModel CollegeMetro Mall
Kolte Patil Life Republic Atmos,₹ 64 - 98.46 L,2 BHKApartment,(61.1 - 86.33 sq.m.),Crimson Anisha Global SchoolCity HospitalNH 48Grand Tamanna HotelSri Balaji University
Vishnu Greens,₹ 49 L,2 BHKApartment,(67.82 sq.m.),Shri Sai English SchoolVighnaharta HospitalVishwakarma UniversityAmanora MallGhorpuri Railway Station
Malpani Green Park,₹ 42.55 L,2 BHKApartment,(65.03 sq.m.),N/A
Kohinoor Westview Reserve,₹ 75.95 L - 1.17 Cr,2 BHKApartment,(55.74 - 82.13 sq.m.),Vedh Valley World CBSE School18 Latitude MallMumbai Highway (NH 48)Indira College of Commerce & ScienceLifepoint Multispecialty Hospital
Shubh Gateway,₹ 1.52 Cr,2 BHKApartment,(84.54 sq.m.),Pune International AirportSymbiosis Law SchoolSky Belvedere
Puraniks Abitante,₹ 43.02 - 49.5 L,1 BHKApartment,(37.33 - 45.43 sq.m.),SunarwadiNH 48Ebix TechnologiesRyan International School BavdhanAditya Shagun Mall
Kohinoor Kaleido,₹ 53 L,1 BHKApartment,(44.75 sq.m.),PGMCEOrchids The International School NH 753FLifeline HospitalRadisson Blu Hotel Pune
Anika Piccadilly,₹ 54 - 65.68 L,2 BHKApartment,(69.4 - 76.09 sq.m.),"Axis Bank ATM, MalwadiMumbai Pune ExpresswayPunawale Multispeciality HospitalGaikwad Petrol PumpHindustan Petroleum  Sy No 157"
Vertillas,₹ 1.4 - 1.48 Cr,2 BHKApartment,(103.3 - 108.81 sq.m.),Mahindra Public SchoolShree HospitalAmanora MallHadapsar Railway StationNational Forensic University
Elina Luxe,₹ 92 L,2 BHKApartment,(72.62 sq.m.),Ryan International SchoolCity Pride MultiplexCorinthians ClubArmy Command HospitalEmpress Botanical Garden
Joyville Skyluxe Edition,₹ 1.45 - 1.57 Cr,3 BHKApartment,(117.99 - 127.93 sq.m.),Mumbai Highway (NH 65)Yog Multispecialty Hospital Tree House High SchoolSP Infocity Amanora The Fern - An Ecotel Hotel
Kohinoor Presidentia,₹ 91 - 94 L,2 BHKApartment,(75.08 - 100.15 sq.m.),Euro KidsPune-Solapur HighwayVibgyor High SchoolMagarpatta CityWanawadi
